ID,年,日付,日程,講座名,場所,時間
1,2016,11、13、14、15、18、21、22、25,4月11日・13～15日・18日・21日・22日・25日,インターンシップ＆就職ミニガイダンス,メディア視聴覚室ほか,16:20ほか
2,2016,16、17、18、19、20,5月16日～20日,今から始める就職相談会,キャリアセンター,終日
3,2016,21,5月21日,瑞若会企業展,AITプラザ,午前・午後
4,2016,7、8,6月7日・8日,J-NET求人ナビ登録会＆SPI受験会,11号館1階ほか,1限ほか
5,2016,10,6月10日,J-NET求人ナビ登録会＆SPI受験会,計算センター実習室1、2,4・5限
6,2016,13,6月13日,J-NET求人ナビ登録会＆SPI受験会,計算センター、情報教育センター,5限
7,2016,20、21,6月20・21日,就職ガイダンス①,G2210,4・5限
8,2016,24,6月24日,進路ガイダンス,メディア視聴覚室,4・5限
9,2016,30,6月30日,就職力向上講座 ①自己PR作成「できること発見」,1号館2Fラウンジ,3・4限
10,2016,1、4,7月1・4日,就職力向上講座 ①自己PR作成「できること発見」,1号館2Fラウンジ,3・4限
11,2016,8,7月8日,J-NET求人ナビ登録会＆SPI受験会,計算センター実習室2,1限
12,2016,11、12、13、14、15,7月11日～15日,マッチング相談会,キャリアセンター,終日
13,2016,11、14、19,7月11日・14日・19日,就職力向上講座 ②志望動機作成「やりたいこと発見」,1号館2Fラウンジ,3・4限
14,2016,16,7月16日,マッチング企業展,1号館ラウンジ,午前・午後
15,2016,3、4,8月3日・4日,インターンシップマナー講座,メディア視聴覚室,5限
16,2016,6,8月6日,インターンシップマナー講座,メディア視聴覚室,2限
17,2016,17、18、20、21,10月17日・18日・20日・21日,就職力向上講座 「前期フォローアップ」(自己PR/志望動機),1号館2Fラウンジ,3・4限
18,2016,15,11月15日,就職ガイダンス②,G2210,2・3・4限
19,2016,16,11月16日,就職ガイダンス②,G2210,5限
20,2016,29、30,11月29日・30日,就職力向上講座 ④「業界・仕事研究セミナー」,メディア視聴覚室,3・4限
21,2016,1,12月1日,就職力向上講座 ④「業界・仕事研究セミナー」,メディア視聴覚室,3・4限
22,2016,12、13、15,12月12日・13日・15日,筆記試験対策講座&自己採点試験,メディア視聴覚室,3・4限
23,2016,19、20,12月19日・20日,就職力向上講座 ④「履歴書作成」,メディア視聴覚室,3・4限
24,2017,17,1月17日,メイクUP講座 ※女子学生向け,AITプラザ3階,3・4限
25,2017,21,1月21日,業種別研究会＋履歴書写真,AITプラザ1階,午前・午後
26,2017,9、10,2月9日・10日,就職ガイダンス③,メディア視聴覚室,3・4限
27,2017,13、14、16、17,2月13日・14日・16日・17日,面接基礎&エントリーシート対策講座,メディア視聴覚室,3・4限
28,2017,21、22,2月21日・22日,SPI模擬受検,メディア視聴覚室,3・4限
29,2017,23、24,2月23日・24日,第一印象向上&グループディスカッション実践演習講座,AITプラザ3階,3・4限
30,2017,1、2、4,3月1日・2日・4日,学内企業展(愛名会会員企業),鉀徳館,午前・午後
31,2017,9、10,3月9日・10日,学内企業展(一般企業 兼 岐阜・長野企業展),AITプラザ1階,午前・午後
32,2017,14、17,3月14日・17日,地元企業交流会(静岡・三重),浜松(14日)、四日市(17日),
33,2017,21、22、23、24,3月21日～24日,面接実践演習,キャリアセンター,
